DATA DA OCORRÊNCIA,NOME EMPPR,FUNCAO-DENOMINACAO,VALOR
5/21/2025,Operador 26,MECANICO MANUTENCAO PL,"0,47"
5/21/2025,Operador 27,OP CALD UTI PL,"0,52"
5/21/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"0,33"
5/21/2025,Operador 31,FERRAMENTEIRO SR,"1,43"
5/21/2025,Operador 32,MECANICO MANUTENCAO SR,"1,15"
5/21/2025,Operador 34,TEC EL ELETRONICO ESPEC - CM,"1,43"
5/21/2025,Operador 38,FERRAMENTEIRO SR,"1,05"
5/22/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,28"
5/22/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"1,3"
5/22/2025,Operador 5,MECANICO MANUTENCAO PL,"1,23"
5/22/2025,Operador 9,TEC ELETRICISTA DE FORCA SR - CM,"0,63"
5/22/2025,Operador 11,OP CALD UTI PL,"0,8"
5/22/2025,Operador 12,TECNICO ELETRONICO JR,"0,28"
5/22/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"1,42"
5/22/2025,Operador 17,TEC ELETRICISTA DE FORCA SR - CM,"2,5"
5/22/2025,Operador 18,MECANICO MANUTENCAO PL,"1,47"
5/22/2025,Operador 20,MECANICO MANUTENCAO PL,"1,32"
5/22/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,13"
5/22/2025,Operador 26,MECANICO MANUTENCAO PL,"0,27"
5/22/2025,Operador 27,OP CALD UTI PL,"0,72"
5/22/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"0,27"
5/22/2025,Operador 31,FERRAMENTEIRO SR,"1,37"
5/22/2025,Operador 34,TEC EL ELETRONICO ESPEC - CM,"1,38"
5/22/2025,Operador 38,FERRAMENTEIRO SR,"1,13"
5/22/2025,Operador 40,MECANICO MANUTENCAO PL,"1,1"
5/23/2025,Operador 1,TECNICO ELETRONICO JR,"1,87"
5/23/2025,Operador 2,MECANICO MANUTENCAO SR,"1,87"
5/23/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,38"
5/23/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"1,4"
5/23/2025,Operador 6,TEC EL ELETRONICO PL - CM,"1,92"
5/23/2025,Operador 10,MECANICO DE MANUTENCAO JR,"0,58"
5/23/2025,Operador 12,TECNICO ELETRONICO JR,"0,25"
5/23/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"1,3"
5/23/2025,Operador 17,TEC ELETRICISTA DE FORCA SR - CM,"0,42"
5/23/2025,Operador 18,MECANICO MANUTENCAO PL,"1,33"
5/23/2025,Operador 20,MECANICO MANUTENCAO PL,"0,62"
5/23/2025,Operador 21,MECANICO MANUTENCAO SR - CM,"1,35"
5/23/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,12"
5/23/2025,Operador 26,MECANICO MANUTENCAO PL,"1,25"
5/23/2025,Operador 27,OP CALD UTI PL,"0,42"
5/23/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"0,38"
5/23/2025,Operador 31,FERRAMENTEIRO SR,"1,52"
5/23/2025,Operador 32,MECANICO MANUTENCAO SR,"1,27"
5/23/2025,Operador 34,TEC EL ELETRONICO ESPEC - CM,"1,05"
5/23/2025,Operador 38,FERRAMENTEIRO SR,"1,47"
5/24/2025,Operador 1,TECNICO ELETRONICO JR,"0,57"
5/24/2025,Operador 2,MECANICO MANUTENCAO SR,"0,77"
5/24/2025,Operador 6,TEC EL ELETRONICO PL - CM,"0,57"
5/24/2025,Operador 11,OP CALD UTI PL,"0,52"
5/24/2025,Operador 21,MECANICO MANUTENCAO SR - CM,"0,2"
5/24/2025,Operador 23,ASSISTENTE DE MANUTENCAO,"4,02"
5/24/2025,Operador 31,FERRAMENTEIRO SR,"9,23"
5/25/2025,Operador 1,TECNICO ELETRONICO JR,"0,1"
5/25/2025,Operador 2,MECANICO MANUTENCAO SR,"0,67"
5/25/2025,Operador 6,TEC EL ELETRONICO PL - CM,"0,13"
5/25/2025,Operador 10,MECANICO DE MANUTENCAO JR,"0,15"
5/25/2025,Operador 11,OP CALD UTI PL,"0,22"
5/26/2025,Operador 1,TECNICO ELETRONICO JR,"0,1"
5/26/2025,Operador 2,MECANICO MANUTENCAO SR,"0,6"
5/26/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"0,82"
5/26/2025,Operador 6,TEC EL ELETRONICO PL - CM,"1,8"
5/26/2025,Operador 10,MECANICO DE MANUTENCAO JR,"0,32"
5/26/2025,Operador 11,OP CALD UTI PL,"0,2"
5/26/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"1,78"
5/26/2025,Operador 14,TEC DESENHO INDUSTRIAL,"1,47"
5/26/2025,Operador 18,MECANICO MANUTENCAO PL,"0,53"
5/26/2025,Operador 20,MECANICO MANUTENCAO PL,"1,28"
5/26/2025,Operador 23,ASSISTENTE DE MANUTENCAO,"0,15"
5/26/2025,Operador 31,FERRAMENTEIRO SR,"0,47"
5/26/2025,Operador 34,TEC EL ELETRONICO ESPEC - CM,"0,8"
5/26/2025,Operador 38,FERRAMENTEIRO SR,"0,57"
5/27/2025,Operador 2,MECANICO MANUTENCAO SR,"0,68"
5/27/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,33"
5/27/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"1,38"
5/27/2025,Operador 6,TEC EL ELETRONICO PL - CM,"0,6"
5/27/2025,Operador 9,TEC ELETRICISTA DE FORCA SR - CM,"0,48"
5/27/2025,Operador 10,MECANICO DE MANUTENCAO JR,"2,13"
5/27/2025,Operador 11,OP CALD UTI PL,"0,57"
5/27/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"1,4"
5/27/2025,Operador 14,TEC DESENHO INDUSTRIAL,"1,32"
5/27/2025,Operador 17,TEC ELETRICISTA DE FORCA SR - CM,"1,68"
5/27/2025,Operador 18,MECANICO MANUTENCAO PL,"1,23"
5/27/2025,Operador 20,MECANICO MANUTENCAO PL,"1,25"
5/27/2025,Operador 21,MECANICO MANUTENCAO SR - CM,"0,12"
5/27/2025,Operador 23,ASSISTENTE DE MANUTENCAO,"2,32"
5/27/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,18"
5/27/2025,Operador 26,MECANICO MANUTENCAO PL,"0,2"
5/27/2025,Operador 27,OP CALD UTI PL,"0,45"
5/27/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"1,47"
5/27/2025,Operador 31,FERRAMENTEIRO SR,"1,5"
5/27/2025,Operador 34,TEC EL ELETRONICO ESPEC - CM,"0,9"
5/27/2025,Operador 38,FERRAMENTEIRO SR,"1,45"
5/28/2025,Operador 2,MECANICO MANUTENCAO SR,"0,87"
5/28/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,37"
5/28/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"0,9"
5/28/2025,Operador 6,TEC EL ELETRONICO PL - CM,"0,95"
5/28/2025,Operador 10,MECANICO DE MANUTENCAO JR,"0,18"
5/28/2025,Operador 11,OP CALD UTI PL,"0,35"
5/28/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"0,75"
5/28/2025,Operador 14,TEC DESENHO INDUSTRIAL,"1,12"
5/28/2025,Operador 17,TEC ELETRICISTA DE FORCA SR - CM,"1,28"
5/28/2025,Operador 18,MECANICO MANUTENCAO PL,"1,33"
5/28/2025,Operador 20,MECANICO MANUTENCAO PL,"1,95"
5/28/2025,Operador 21,MECANICO MANUTENCAO SR - CM,"0,35"
5/28/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,38"
5/28/2025,Operador 27,OP CALD UTI PL,"0,82"
5/28/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"1,77"
5/28/2025,Operador 31,FERRAMENTEIRO SR,"1,68"
5/28/2025,Operador 34,TEC EL ELETRONICO ESPEC - CM,"1,38"
5/28/2025,Operador 38,FERRAMENTEIRO SR,"1,5"
5/28/2025,Operador 40,MECANICO MANUTENCAO PL,"1,63"
5/29/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,2"
5/29/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"1,15"
5/29/2025,Operador 11,OP CALD UTI PL,"1,8"
5/29/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"2,92"
5/29/2025,Operador 14,TEC DESENHO INDUSTRIAL,"0,48"
5/29/2025,Operador 17,TEC ELETRICISTA DE FORCA SR - CM,"1,47"
5/29/2025,Operador 18,MECANICO MANUTENCAO PL,"0,33"
5/29/2025,Operador 20,MECANICO MANUTENCAO PL,"0,23"
5/29/2025,Operador 23,ASSISTENTE DE MANUTENCAO,"0,12"
5/29/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,47"
5/29/2025,Operador 27,OP CALD UTI PL,"0,28"
5/29/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"0,22"
5/29/2025,Operador 31,FERRAMENTEIRO SR,"1,67"
5/29/2025,Operador 39,MECANICO MANUTENCAO PL,"0,23"
5/30/2025,Operador 1,TECNICO ELETRONICO JR,"0,82"
5/30/2025,Operador 2,MECANICO MANUTENCAO SR,"1,1"
5/30/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,35"
5/30/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"0,9"
5/30/2025,Operador 6,TEC EL ELETRONICO PL - CM,"1,5"
5/30/2025,Operador 10,MECANICO DE MANUTENCAO JR,"0,52"
5/30/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"0,87"
5/30/2025,Operador 17,TEC ELETRICISTA DE FORCA SR - CM,"0,55"
5/30/2025,Operador 18,MECANICO MANUTENCAO PL,"0,47"
5/30/2025,Operador 20,MECANICO MANUTENCAO PL,"0,57"
5/30/2025,Operador 21,MECANICO MANUTENCAO SR - CM,"1,5"
5/30/2025,Operador 23,ASSISTENTE DE MANUTENCAO,"0,15"
5/30/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,47"
5/30/2025,Operador 27,OP CALD UTI PL,"0,2"
5/30/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"0,35"
5/30/2025,Operador 31,FERRAMENTEIRO SR,"1,72"
5/30/2025,Operador 32,MECANICO MANUTENCAO SR,"0,35"
5/30/2025,Operador 38,FERRAMENTEIRO SR,"1,77"
5/30/2025,Operador 39,MECANICO MANUTENCAO PL,"0,55"
5/31/2025,Operador 1,TECNICO ELETRONICO JR,"0,4"
5/31/2025,Operador 2,MECANICO MANUTENCAO SR,"0,97"
5/31/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,43"
5/31/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"5,25"
5/31/2025,Operador 6,TEC EL ELETRONICO PL - CM,"0,48"
5/31/2025,Operador 7,FERRAMENTEIRO,"0,12"
5/31/2025,Operador 10,MECANICO DE MANUTENCAO JR,"0,3"
5/31/2025,Operador 17,TEC ELETRICISTA DE FORCA SR - CM,"0,85"
5/31/2025,Operador 18,MECANICO MANUTENCAO PL,"7,87"
5/31/2025,Operador 21,MECANICO MANUTENCAO SR - CM,"0,47"
5/31/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,55"
5/31/2025,Operador 27,OP CALD UTI PL,"0,2"
5/31/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"0,45"
5/31/2025,Operador 31,FERRAMENTEIRO SR,"7,08"
5/31/2025,Operador 39,MECANICO MANUTENCAO PL,"0,27"
6/1/2025,Operador 1,TECNICO ELETRONICO JR,"0,48"
6/1/2025,Operador 2,MECANICO MANUTENCAO SR,"0,95"
6/1/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,13"
6/1/2025,Operador 6,TEC EL ELETRONICO PL - CM,"0,5"
6/1/2025,Operador 10,MECANICO DE MANUTENCAO JR,"0,43"
6/1/2025,Operador 17,TEC ELETRICISTA DE FORCA SR - CM,"0,2"
6/1/2025,Operador 21,MECANICO MANUTENCAO SR - CM,"0,5"
6/1/2025,Operador 27,OP CALD UTI PL,"0,52"
6/1/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"0,13"
6/1/2025,Operador 39,MECANICO MANUTENCAO PL,"0,35"
6/2/2025,Operador 2,MECANICO MANUTENCAO SR,"1,1"
6/2/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"0,85"
6/2/2025,Operador 5,MECANICO MANUTENCAO PL,"1,4"
6/2/2025,Operador 6,TEC EL ELETRONICO PL - CM,"0,38"
6/2/2025,Operador 10,MECANICO DE MANUTENCAO JR,"0,1"
6/2/2025,Operador 12,TECNICO ELETRONICO JR,"0,5"
6/2/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"0,9"
6/2/2025,Operador 20,MECANICO MANUTENCAO PL,"1,15"
6/2/2025,Operador 21,MECANICO MANUTENCAO SR - CM,"0,37"
6/2/2025,Operador 31,FERRAMENTEIRO SR,"1,47"
6/2/2025,Operador 37,MECANICO MANUTENCAO SR,"0,23"
6/2/2025,Operador 38,FERRAMENTEIRO SR,"0,52"
6/2/2025,Operador 39,MECANICO MANUTENCAO PL,"0,73"
6/3/2025,Operador 1,TECNICO ELETRONICO JR,"0,32"
6/3/2025,Operador 2,MECANICO MANUTENCAO SR,"0,87"
6/3/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"0,72"
6/3/2025,Operador 5,MECANICO MANUTENCAO PL,"0,92"
6/3/2025,Operador 10,MECANICO DE MANUTENCAO JR,"0,42"
6/3/2025,Operador 11,OP CALD UTI PL,"0,92"
6/3/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"1,15"
6/3/2025,Operador 14,TEC DESENHO INDUSTRIAL,"1,12"
6/3/2025,Operador 18,MECANICO MANUTENCAO PL,"0,97"
6/3/2025,Operador 20,MECANICO MANUTENCAO PL,"1,02"
6/3/2025,Operador 21,MECANICO MANUTENCAO SR - CM,"0,38"
6/3/2025,Operador 31,FERRAMENTEIRO SR,"1,5"
6/3/2025,Operador 33,MECANICO MANUTENCAO SR,"0,12"
6/3/2025,Operador 35,ASSISTENTE DE MANUTENCAO,"0,33"
6/3/2025,Operador 37,MECANICO MANUTENCAO SR,"0,12"
6/3/2025,Operador 38,FERRAMENTEIRO SR,"0,65"
6/3/2025,Operador 39,MECANICO MANUTENCAO PL,"0,23"
6/4/2025,Operador 1,TECNICO ELETRONICO JR,"0,45"
6/4/2025,Operador 2,MECANICO MANUTENCAO SR,"1,23"
6/4/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,13"
6/4/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"1,38"
6/4/2025,Operador 5,MECANICO MANUTENCAO PL,"1,82"
6/4/2025,Operador 6,TEC EL ELETRONICO PL - CM,"1,93"
6/4/2025,Operador 10,MECANICO DE MANUTENCAO JR,"0,43"
6/4/2025,Operador 11,OP CALD UTI PL,"0,57"
6/4/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"1,02"
6/4/2025,Operador 17,TEC ELETRICISTA DE FORCA SR - CM,"0,4"
6/4/2025,Operador 18,MECANICO MANUTENCAO PL,"1,43"
6/4/2025,Operador 19,OP UTILIDADES JR,"0,23"
6/4/2025,Operador 20,MECANICO MANUTENCAO PL,"1,43"
6/4/2025,Operador 21,MECANICO MANUTENCAO SR - CM,"1,5"
6/4/2025,Operador 25,TEC ELETRICISTA DE FORCA SR - CM,"0,43"
6/4/2025,Operador 26,MECANICO MANUTENCAO PL,"0,1"
6/4/2025,Operador 27,OP CALD UTI PL,"0,42"
6/4/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"1,88"
6/4/2025,Operador 33,MECANICO MANUTENCAO SR,"0,52"
6/4/2025,Operador 37,MECANICO MANUTENCAO SR,"0,4"
6/4/2025,Operador 38,FERRAMENTEIRO SR,"1,37"
6/5/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,4"
6/5/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"1,22"
6/5/2025,Operador 5,MECANICO MANUTENCAO PL,"0,78"
6/5/2025,Operador 6,TEC EL ELETRONICO PL - CM,"1,67"
6/5/2025,Operador 11,OP CALD UTI PL,"0,62"
6/5/2025,Operador 12,TECNICO ELETRONICO JR,"0,15"
6/5/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"0,92"
6/5/2025,Operador 14,TEC DESENHO INDUSTRIAL,"1,27"
6/5/2025,Operador 17,TEC ELETRICISTA DE FORCA SR - CM,"2,35"
6/5/2025,Operador 18,MECANICO MANUTENCAO PL,"0,27"
6/5/2025,Operador 19,OP UTILIDADES JR,"0,35"
6/5/2025,Operador 20,MECANICO MANUTENCAO PL,"1,37"
6/5/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,25"
6/5/2025,Operador 26,MECANICO MANUTENCAO PL,"0,28"
6/5/2025,Operador 27,OP CALD UTI PL,"2,05"
6/5/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"1,32"
6/5/2025,Operador 30,TEC ELETRICISTA DE FORCA SR - CM,"0,17"
6/5/2025,Operador 31,FERRAMENTEIRO SR,"1,02"
6/5/2025,Operador 36,MECANICO MANUTENCAO SR - CM,"0,4"
6/5/2025,Operador 37,MECANICO MANUTENCAO SR,"0,15"
6/5/2025,Operador 38,FERRAMENTEIRO SR,"1,43"
6/6/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,45"
6/6/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"1,38"
6/6/2025,Operador 5,MECANICO MANUTENCAO PL,"1,48"
6/6/2025,Operador 6,TEC EL ELETRONICO PL - CM,"1,02"
6/6/2025,Operador 11,OP CALD UTI PL,"0,83"
6/6/2025,Operador 12,TECNICO ELETRONICO JR,"0,5"
6/6/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"1,37"
6/6/2025,Operador 14,TEC DESENHO INDUSTRIAL,"1,48"
6/6/2025,Operador 16,FERRAMENTEIRO SR,"0,1"
6/6/2025,Operador 17,TEC ELETRICISTA DE FORCA SR - CM,"1,88"
6/6/2025,Operador 18,MECANICO MANUTENCAO PL,"0,47"
6/6/2025,Operador 19,OP UTILIDADES JR,"0,9"
6/6/2025,Operador 20,MECANICO MANUTENCAO PL,"1,02"
6/6/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,43"
6/6/2025,Operador 26,MECANICO MANUTENCAO PL,"0,97"
6/6/2025,Operador 27,OP CALD UTI PL,"0,8"
6/6/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"1,97"
6/6/2025,Operador 30,TEC ELETRICISTA DE FORCA SR - CM,"1,75"
6/6/2025,Operador 31,FERRAMENTEIRO SR,"1,4"
6/6/2025,Operador 33,MECANICO MANUTENCAO SR,"0,4"
6/6/2025,Operador 35,ASSISTENTE DE MANUTENCAO,"0,82"
6/6/2025,Operador 38,FERRAMENTEIRO SR,"0,68"
6/7/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"1,35"
6/7/2025,Operador 14,TEC DESENHO INDUSTRIAL,"5,92"
6/7/2025,Operador 17,TEC ELETRICISTA DE FORCA SR - CM,"0,22"
6/7/2025,Operador 27,OP CALD UTI PL,"0,57"
6/7/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"1,3"
6/7/2025,Operador 38,FERRAMENTEIRO SR,"5,38"
6/7/2025,Operador 39,MECANICO MANUTENCAO PL,"0,8"
6/8/2025,Operador 1,TECNICO ELETRONICO JR,"0,28"
6/8/2025,Operador 2,MECANICO MANUTENCAO SR,"1,02"
6/8/2025,Operador 17,TEC ELETRICISTA DE FORCA SR - CM,"0,12"
6/8/2025,Operador 21,MECANICO MANUTENCAO SR - CM,"0,33"
6/8/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,72"
6/8/2025,Operador 25,TEC ELETRICISTA DE FORCA SR - CM,"0,22"
6/8/2025,Operador 26,MECANICO MANUTENCAO PL,"0,42"
6/8/2025,Operador 27,OP CALD UTI PL,"0,35"
6/8/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"0,25"
6/8/2025,Operador 30,TEC ELETRICISTA DE FORCA SR - CM,"0,1"
6/8/2025,Operador 31,FERRAMENTEIRO SR,"4,33"
6/9/2025,Operador 1,TECNICO ELETRONICO JR,"0,47"
6/9/2025,Operador 2,MECANICO MANUTENCAO SR,"1,15"
6/9/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"1,47"
6/9/2025,Operador 5,MECANICO MANUTENCAO PL,"0,75"
6/9/2025,Operador 6,TEC EL ELETRONICO PL - CM,"1,7"
6/9/2025,Operador 8,OP CALD UTI JR,2
6/9/2025,Operador 10,MECANICO DE MANUTENCAO JR,"0,48"
6/9/2025,Operador 11,OP CALD UTI PL,"0,55"
6/9/2025,Operador 12,TECNICO ELETRONICO JR,"1,53"
6/9/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"0,97"
6/9/2025,Operador 14,TEC DESENHO INDUSTRIAL,"1,43"
6/9/2025,Operador 17,TEC ELETRICISTA DE FORCA SR - CM,"0,18"
6/9/2025,Operador 18,MECANICO MANUTENCAO PL,"0,22"
6/9/2025,Operador 20,MECANICO MANUTENCAO PL,"0,18"
6/9/2025,Operador 21,MECANICO MANUTENCAO SR - CM,"0,45"
6/9/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,38"
6/9/2025,Operador 27,OP CALD UTI PL,"0,45"
6/9/2025,Operador 29,TEC ELETRICISTA DE FORCA SR - CM,"1,95"
6/9/2025,Operador 38,FERRAMENTEIRO SR,"1,4"
6/10/2025,Operador 1,TECNICO ELETRONICO JR,"0,67"
6/10/2025,Operador 2,MECANICO MANUTENCAO SR,"0,78"
6/10/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"1,38"
6/10/2025,Operador 5,MECANICO MANUTENCAO PL,"0,77"
6/10/2025,Operador 6,TEC EL ELETRONICO PL - CM,"1,07"
6/10/2025,Operador 8,OP CALD UTI JR,2
6/10/2025,Operador 9,TEC ELETRICISTA DE FORCA SR - CM,"1,77"
6/10/2025,Operador 10,MECANICO DE MANUTENCAO JR,"0,13"
6/10/2025,Operador 11,OP CALD UTI PL,"0,62"
6/10/2025,Operador 12,TECNICO ELETRONICO JR,"1,5"
6/10/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"0,8"
6/10/2025,Operador 14,TEC DESENHO INDUSTRIAL,"1,15"
6/10/2025,Operador 18,MECANICO MANUTENCAO PL,"0,85"
6/10/2025,Operador 20,MECANICO MANUTENCAO PL,"0,13"
6/10/2025,Operador 21,MECANICO MANUTENCAO SR - CM,"0,13"
6/10/2025,Operador 31,FERRAMENTEIRO SR,"0,83"
6/10/2025,Operador 37,MECANICO MANUTENCAO SR,"1,68"
6/10/2025,Operador 38,FERRAMENTEIRO SR,"1,2"
6/10/2025,Operador 40,MECANICO MANUTENCAO PL,"1,8"
6/11/2025,Operador 1,TECNICO ELETRONICO JR,"0,43"
6/11/2025,Operador 2,MECANICO MANUTENCAO SR,"0,7"
6/11/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,25"
6/11/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"1,4"
6/11/2025,Operador 5,MECANICO MANUTENCAO PL,"0,95"
6/11/2025,Operador 6,TEC EL ELETRONICO PL - CM,"1,78"
6/11/2025,Operador 11,OP CALD UTI PL,"0,85"
6/11/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"0,38"
6/11/2025,Operador 14,TEC DESENHO INDUSTRIAL,"0,5"
6/11/2025,Operador 17,TEC ELETRICISTA DE FORCA SR - CM,"0,58"
6/11/2025,Operador 18,MECANICO MANUTENCAO PL,"0,5"
6/11/2025,Operador 19,OP UTILIDADES JR,"0,25"
6/11/2025,Operador 20,MECANICO MANUTENCAO PL,"1,43"
6/11/2025,Operador 21,MECANICO MANUTENCAO SR - CM,"0,38"
6/11/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,35"
6/11/2025,Operador 25,TEC ELETRICISTA DE FORCA SR - CM,"0,45"
6/11/2025,Operador 26,MECANICO MANUTENCAO PL,"0,33"
6/11/2025,Operador 27,OP CALD UTI PL,"0,5"
6/11/2025,Operador 31,FERRAMENTEIRO SR,"0,9"
6/11/2025,Operador 38,FERRAMENTEIRO SR,"0,82"
6/12/2025,Operador 2,MECANICO MANUTENCAO SR,"0,97"
6/12/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,37"
6/12/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"1,27"
6/12/2025,Operador 5,MECANICO MANUTENCAO PL,"1,77"
6/12/2025,Operador 6,TEC EL ELETRONICO PL - CM,"1,87"
6/12/2025,Operador 10,MECANICO DE MANUTENCAO JR,"0,3"
6/12/2025,Operador 11,OP CALD UTI PL,"0,57"
6/12/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"0,8"
6/12/2025,Operador 17,TEC ELETRICISTA DE FORCA SR - CM,"0,6"
6/12/2025,Operador 18,MECANICO MANUTENCAO PL,"1,85"
6/12/2025,Operador 20,MECANICO MANUTENCAO PL,"1,47"
6/12/2025,Operador 21,MECANICO MANUTENCAO SR - CM,"0,3"
6/12/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,37"
6/12/2025,Operador 25,TEC ELETRICISTA DE FORCA SR - CM,"0,55"
6/12/2025,Operador 26,MECANICO MANUTENCAO PL,"0,38"
6/12/2025,Operador 27,OP CALD UTI PL,"0,37"
6/12/2025,Operador 31,FERRAMENTEIRO SR,"0,37"
6/12/2025,Operador 35,ASSISTENTE DE MANUTENCAO,"0,12"
6/12/2025,Operador 38,FERRAMENTEIRO SR,"0,8"
6/13/2025,Operador 1,TECNICO ELETRONICO JR,"0,73"
6/13/2025,Operador 2,MECANICO MANUTENCAO SR,"1,17"
6/13/2025,Operador 3,TEC ELETRICO MECANICO PL,"0,48"
6/13/2025,Operador 4,MECANICO MANUTENCAO SR - CM,"1,12"
6/13/2025,Operador 5,MECANICO MANUTENCAO PL,"1,67"
6/13/2025,Operador 6,TEC EL ELETRONICO PL - CM,"1,08"
6/13/2025,Operador 9,TEC ELETRICISTA DE FORCA SR - CM,"0,23"
6/13/2025,Operador 10,MECANICO DE MANUTENCAO JR,"0,68"
6/13/2025,Operador 11,OP CALD UTI PL,"0,7"
6/13/2025,Operador 13,MECANICO MANUTENCAO ESPECIALISTA,"1,02"
6/13/2025,Operador 17,TEC ELETRICISTA DE FORCA SR - CM,"0,75"
6/13/2025,Operador 18,MECANICO MANUTENCAO PL,"0,57"
6/13/2025,Operador 19,OP UTILIDADES JR,"0,52"
6/13/2025,Operador 20,MECANICO MANUTENCAO PL,"0,7"
6/13/2025,Operador 21,MECANICO MANUTENCAO SR - CM,"0,72"
6/13/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,52"
6/13/2025,Operador 25,TEC ELETRICISTA DE FORCA SR - CM,"0,72"
6/13/2025,Operador 26,MECANICO MANUTENCAO PL,"0,55"
6/13/2025,Operador 31,FERRAMENTEIRO SR,"1,35"
6/13/2025,Operador 34,TEC EL ELETRONICO ESPEC - CM,"0,52"
6/13/2025,Operador 38,FERRAMENTEIRO SR,"0,52"
6/14/2025,Operador 17,TEC ELETRICISTA DE FORCA SR - CM,"0,83"
6/14/2025,Operador 19,OP UTILIDADES JR,"0,78"
6/14/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,02"
6/14/2025,Operador 26,MECANICO MANUTENCAO PL,"0,15"
6/14/2025,Operador 30,TEC ELETRICISTA DE FORCA SR - CM,"0,13"
6/15/2025,Operador 19,OP UTILIDADES JR,"1,05"
6/15/2025,Operador 24,MECANICO DE MANUTENCAO JR,"0,02"
