Descrição da falha,Tipo de atividade,CÓDIGO DA OS,Ativo ,Equipe responsável,Executor (tecnico),Início,Fim,Hora início,Hora fim,Duração,Custo real dos técnicos (custo m.o.),Custo total real
Falha mecânica geral,Manutenção corretiva,CORRETIVA-03-25-0244,446-006 - SOPRADORES,EQ-ATV-002 - EQUIPE CORRETIVA,65272 - OPERADOR 26,3/7/2025,3/7/2025,09:00:00,11:30:00,02:30:00,"36,36","36,36"
Travamento inesperado,Manutenção corretiva,CORRETIVA-03-25-0318,452-007 - TERMOREGULADORA,EQ-ATV-002 - EQUIPE CORRETIVA,65090 - OPERADOR 22,3/7/2025,3/7/2025,17:30:00,18:20:00,00:50:00,"18,93","18,93"
Falha elétrica,Manutenção corretiva,CORRETIVA-03-25-0286,547-003 - ESTICADEIRA 01,EQ-ATV-002 - EQUIPE CORRETIVA,65272 - OPERADOR 26,3/7/2025,3/7/2025,13:30:00,14:30:00,01:00:00,"18,18","18,18"
Travamento inesperado,Manutenção corretiva,CORRETIVA-03-25-0254,580-005 - GAIOLA 18 BERÇOS,EQ-ATV-002 - EQUIPE CORRETIVA,64919 - OPERADOR 5,3/7/2025,3/7/2025,15:30:00,16:30:00,01:00:00,"18,18","18,18"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-03-25-0227,657-004 - BASE ENROLADOR,EQ-ATV-002 - EQUIPE CORRETIVA,65273 - OPERADOR 27,3/7/2025,3/7/2025,04:00:00,05:30:00,01:30:00,"27,27","27,27"
Travamento hidráulico,Manutenção corretiva,CORRETIVA-03-25-0267,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65041 - OPERADOR 20,3/8/2025,3/8/2025,07:00:00,14:58:00,07:58:00,"145,44","145,44"
Desalinhamento dos rolos,Manutenção corretiva,CORRETIVA-03-25-0263,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,3/8/2025,3/8/2025,04:00:00,06:00:00,02:00:00,"72,72","72,72"
Falha no motor principal,Manutenção corretiva,CORRETIVA-03-25-0360,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,3/8/2025,3/8/2025,20:00:00,21:00:00,01:00:00,"18,18","18,18"
Problema no painel elétrico,Manutenção corretiva,CORRETIVA-03-25-0357,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,3/8/2025,3/8/2025,15:00:00,18:00:00,03:00:00,"54,54","54,54"
Desgaste dos mancais,Manutenção corretiva,CORRETIVA-03-25-0267,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65041 - OPERADOR 20,3/8/2025,3/8/2025,07:00:00,14:58:00,07:58:00,"145,44","145,44"
Travamento hidráulico,Manutenção corretiva,CORRETIVA-03-25-0357,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,3/8/2025,3/8/2025,15:00:00,18:00:00,03:00:00,"54,54","54,54"
Falha na unidade de injeção,Manutenção corretiva,CORRETIVA-03-25-0353,#202 - INJETORA A SECO AA #202,EQ-ATV-002 - EQUIPE CORRETIVA,65090 - OPERADOR 22,3/8/2025,3/8/2025,18:00:00,20:00:00,02:00:00,"45,44","45,44"
Falha na unidade de injeção,Manutenção corretiva,CORRETIVA-03-25-0352,#211 - INJETORA A SECO AA #211,EQ-ATV-002 - EQUIPE CORRETIVA,65090 - OPERADOR 22,3/8/2025,3/8/2025,21:00:00,22:30:00,01:30:00,"34,08","34,08"
Falha no sistema hidráulico,Manutenção corretiva,CORRETIVA-03-25-0314,#211 - INJETORA A SECO AA #211,EQ-ATV-002 - EQUIPE CORRETIVA,65272 - OPERADOR 26,3/8/2025,3/8/2025,13:30:00,14:30:00,01:00:00,,0
Falha na unidade de injeção,Manutenção corretiva,CORRETIVA-03-25-0320,#222 - INJETORA PRIMÁRIA A SECO ITO-SIN LHD-450/13 #222,EQ-ATV-002 - EQUIPE CORRETIVA,65220 - OPERADOR 24,3/8/2025,3/8/2025,14:30:00,22:00:00,07:30:00,"170,4","170,4"
Vazamento de óleo,Manutenção corretiva,CORRETIVA-03-25-0265,#296 - INJETORA SYNCRO F13 - 1,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,3/8/2025,3/8/2025,01:00:00,02:30:00,01:30:00,"54,54","54,54"
Falha no sistema elétrico,Manutenção corretiva,CORRETIVA-03-25-0341,#305 - CORTADEIRA DOBRADEIRA TERMOMECANICA #305,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,3/8/2025,3/8/2025,13:40:00,14:00:00,00:20:00,"7,57","7,57"
Falha no cilindro hidráulico,Manutenção corretiva,CORRETIVA-03-25-0340,#362 - DOBRADEIRA SPAROLLETI - 2,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,3/8/2025,3/8/2025,13:20:00,13:40:00,00:01:00,"7,57","7,57"
Superaquecimento,Manutenção corretiva,CORRETIVA-03-25-0312,#452 - POLITRIZ NOKIA .,EQ-ATV-002 - EQUIPE CORRETIVA,65272 - OPERADOR 26,3/8/2025,3/8/2025,10:00:00,11:00:00,01:00:00,"18,18","18,18"
Desgaste das facas,Manutenção corretiva,CORRETIVA-03-25-0359,#889 - GRANULADORA BOW TWISTER #889,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,3/8/2025,3/8/2025,18:00:00,20:00:00,02:00:00,"36,36","36,36"
Problema no painel de controle,Manutenção corretiva,CORRETIVA-03-25-0362,#889 - GRANULADORA BOW TWISTER #889,EQ-ATV-002 - EQUIPE CORRETIVA,64919 - OPERADOR 5,3/8/2025,3/8/2025,15:30:00,20:30:00,05:00:00,"90,9","90,9"
Problema no painel elétrico,Manutenção corretiva,CORRETIVA-03-25-0264,192-003 - FORNO VULCAN #3,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,3/8/2025,3/8/2025,02:30:00,04:00:00,01:30:00,"54,54","54,54"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-03-25-0308,208-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,64891 - OPERADOR 3,3/8/2025,3/8/2025,10:45:00,11:15:00,00:30:00,"9,09","9,09"
Travamento inesperado,Manutenção corretiva,CORRETIVA-03-25-0334,208-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,3/8/2025,3/8/2025,10:00:00,10:15:00,00:15:00,"5,68","5,68"
Travamento inesperado,Manutenção corretiva,CORRETIVA-03-25-0325,211-005 - CARRO DE TRANSFERÊNCIA,EQ-ATV-002 - EQUIPE CORRETIVA,93170 - OPERADOR 32,3/8/2025,3/8/2025,15:30:00,21:35:00,06:05:00,0,0
Superaquecimento,Manutenção corretiva,CORRETIVA-03-25-0342,211-014 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,3/8/2025,3/8/2025,14:20:00,14:35:00,00:01:00,"5,68","5,68"
Superaquecimento,Manutenção corretiva,CORRETIVA-03-25-0313,219-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,65272 - OPERADOR 26,3/8/2025,3/8/2025,11:00:00,12:30:00,01:30:00,"45,45","45,45"
Travamento inesperado,Manutenção corretiva,CORRETIVA-03-25-0309,295-005 - CARRO DE TRANSFERÊNCIA,EQ-ATV-002 - EQUIPE CORRETIVA,64891 - OPERADOR 3,3/8/2025,3/8/2025,13:00:00,13:30:00,00:30:00,"9,09","9,09"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-03-25-0343,296-005 - BOBINADOR DUPLO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,3/8/2025,3/8/2025,14:35:00,14:50:00,00:01:00,"5,68","5,68"
Travamento inesperado,Manutenção corretiva,CORRETIVA-03-25-0351,296-005-003 - BOBINADOR B,EQ-ATV-002 - EQUIPE CORRETIVA,65090 - OPERADOR 22,3/8/2025,3/8/2025,15:00:00,18:00:00,03:00:00,"68,16","68,16"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-03-25-0305,298-009 - COILER,EQ-ATV-002 - EQUIPE CORRETIVA,64891 - OPERADOR 3,3/8/2025,3/8/2025,08:45:00,10:00:00,01:15:00,"22,73","22,73"
Superaquecimento,Manutenção corretiva,CORRETIVA-03-25-0337,304-010 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,3/8/2025,3/8/2025,11:00:00,11:50:00,00:50:00,"18,93","18,93"
Travamento inesperado,Manutenção corretiva,CORRETIVA-03-25-0328,312-002 - 1ª GAIOLA,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,3/8/2025,3/9/2025,23:00:00,00:15:00,01:15:00,"44,24","44,24"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-03-25-0363,312-002 - 1ª GAIOLA,EQ-ATV-002 - EQUIPE CORRETIVA,64919 - OPERADOR 5,3/8/2025,3/8/2025,21:30:00,22:10:00,00:40:00,"12,12","12,12"
Falha elétrica,Manutenção corretiva,CORRETIVA-03-25-0361,312-002 - 1ª GAIOLA,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,3/8/2025,3/8/2025,21:00:00,23:30:00,02:30:00,"45,45","45,45"
Superaquecimento,Manutenção corretiva,CORRETIVA-03-25-0326,312-002 - 1ª GAIOLA,EQ-ATV-002 - EQUIPE CORRETIVA,93170 - OPERADOR 32,3/8/2025,3/8/2025,19:00:00,19:50:00,00:50:00,0,0
Desgaste prematuro,Manutenção corretiva,CORRETIVA-03-25-0361,312-003-001 - SISTEMA DE CARREGAMENTO,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,3/8/2025,3/8/2025,21:00:00,23:30:00,02:30:00,"45,45","45,45"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-03-25-0261,328-004 - GAIOLA 6 BERÇOS,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,3/8/2025,3/8/2025,00:01:00,01:00:00,00:59:00,"35,76","35,76"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-03-25-0301,332-001 - BASE DESENROLADOR,EQ-ATV-002 - EQUIPE CORRETIVA,64891 - OPERADOR 3,3/8/2025,3/8/2025,07:00:00,07:45:00,00:45:00,"13,64","13,64"
Superaquecimento,Manutenção corretiva,CORRETIVA-03-25-0336,334-016 - PAINEL ELÉTRICO E COMANDO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,3/8/2025,3/8/2025,10:45:00,11:00:00,00:15:00,"5,68","5,68"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-03-25-0303,363-001 - GAIOLA 01,EQ-ATV-002 - EQUIPE CORRETIVA,64891 - OPERADOR 3,3/8/2025,3/8/2025,07:45:00,08:45:00,01:00:00,"18,18","18,18"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-03-25-0266,"444-006 - PRENSA 6""",EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,3/8/2025,3/8/2025,06:00:00,06:30:00,00:30:00,"18,18","18,18"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-03-25-0339,446-013 - BASE ENROLADOR 01,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,3/8/2025,3/8/2025,13:00:00,13:20:00,00:20:00,"7,57","7,57"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-03-25-0260,450-014 - CARRINHO PARA DESMONTAGEM DA CABEÇA,EQ-ATV-002 - EQUIPE CORRETIVA,64942 - OPERADOR 8,3/8/2025,3/8/2025,01:00:00,02:00:00,01:00:00,"22,72","22,72"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-03-25-0338,"451-010 - PRENSA AUXILIAR 6""",EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,3/8/2025,3/8/2025,11:50:00,13:00:00,00:01:00,"26,51","26,51"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-03-25-0259,475-015 - TERMORREGULADORA,EQ-ATV-002 - EQUIPE CORRETIVA,64942 - OPERADOR 8,3/8/2025,3/8/2025,00:01:00,01:00:00,00:59:00,"22,34","22,34"
Travamento inesperado,Manutenção corretiva,CORRETIVA-03-25-0307,848-011 - BASE ENROLADOR,EQ-ATV-002 - EQUIPE CORRETIVA,64891 - OPERADOR 3,3/8/2025,3/8/2025,10:00:00,10:45:00,00:45:00,"13,64","13,64"
Desgaste dos mancais,Manutenção corretiva,CORRETIVA-03-25-0333,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65041 - OPERADOR 20,3/9/2025,3/9/2025,07:00:00,14:38:00,00:00:00,"134,84","134,84"
Travamento hidráulico,Manutenção corretiva,CORRETIVA-03-25-0358,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,3/9/2025,3/9/2025,15:00:00,18:00:00,03:00:00,"54,54","54,54"
Desalinhamento dos rolos,Manutenção corretiva,CORRETIVA-03-25-0382,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,3/9/2025,3/9/2025,13:50:00,14:25:00,00:35:00,"13,25","13,25"
Desalinhamento dos rolos,Manutenção corretiva,CORRETIVA-03-25-0333,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65041 - OPERADOR 20,3/9/2025,3/9/2025,07:00:00,14:38:00,00:00:00,"134,84","134,84"
Falha no motor principal,Manutenção corretiva,CORRETIVA-03-25-0449,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,3/9/2025,3/9/2025,18:00:00,23:00:00,05:00:00,"90,9","90,9"
Problema no painel elétrico,Manutenção corretiva,CORRETIVA-03-25-0358,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,3/9/2025,3/9/2025,15:00:00,18:00:00,03:00:00,"54,54","54,54"
Vazamento de óleo,Manutenção corretiva,CORRETIVA-03-25-0369,#221 - INJETORA A SECO AA H20 #221,EQ-ATV-002 - EQUIPE CORRETIVA,65220 - OPERADOR 24,3/9/2025,3/9/2025,19:00:00,22:00:00,03:00:00,"68,16","68,16"
Falha no sistema hidráulico,Manutenção corretiva,CORRETIVA-03-25-0366,#222 - INJETORA PRIMÁRIA A SECO ITO-SIN LHD-450/13 #222,EQ-ATV-002 - EQUIPE CORRETIVA,65220 - OPERADOR 24,3/9/2025,3/9/2025,14:30:00,16:00:00,01:30:00,"34,08","34,08"
Falha na unidade de injeção,Manutenção corretiva,CORRETIVA-03-25-0367,#296 - INJETORA SYNCRO F13 - 1,EQ-ATV-002 - EQUIPE CORRETIVA,65220 - OPERADOR 24,3/9/2025,3/9/2025,17:00:00,18:00:00,01:00:00,"22,72","22,72"
Travamento mecânico,Manutenção corretiva,CORRETIVA-03-25-0345,#305 - CORTADEIRA DOBRADEIRA TERMOMECANICA #305,EQ-ATV-002 - EQUIPE CORRETIVA,65272 - OPERADOR 26,3/9/2025,3/9/2025,07:00:00,08:00:00,01:00:00,"18,18","18,18"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-03-25-0365,#451 - PRENSA - 150 EH 2400.1.150-25D,EQ-ATV-002 - EQUIPE CORRETIVA,65220 - OPERADOR 24,3/9/2025,3/9/2025,16:00:00,17:00:00,01:00:00,"22,72","22,72"
Falha elétrica,Manutenção corretiva,CORRETIVA-03-25-0368,#488 - POLITRIZ CV LINE ROYLE #488,EQ-ATV-002 - EQUIPE CORRETIVA,65220 - OPERADOR 24,3/9/2025,3/9/2025,18:00:00,19:00:00,01:00:00,"22,72","22,72"
Falha elétrica,Manutenção corretiva,CORRETIVA-03-25-0379,190-008-006 - GAIOLA 06,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,3/9/2025,3/9/2025,08:00:00,10:00:00,02:00:00,"45,44","45,44"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-03-25-0379,190-008-007 - GAIOLA 07,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,3/9/2025,3/9/2025,08:00:00,10:00:00,02:00:00,"45,44","45,44"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-03-25-0327,192-005-006 - TROCADOR DE CALOR RESERVA,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,3/9/2025,3/9/2025,02:00:00,05:00:00,03:00:00,"109,08","109,08"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-03-25-0350,211-007 - BOBINADOR 1,EQ-ATV-002 - EQUIPE CORRETIVA,64891 - OPERADOR 3,3/9/2025,3/9/2025,07:00:00,10:30:00,03:30:00,"63,63","63,63"
Falha elétrica,Manutenção corretiva,CORRETIVA-03-25-0347,222-005 - COILER,EQ-ATV-002 - EQUIPE CORRETIVA,65272 - OPERADOR 26,3/9/2025,3/9/2025,09:00:00,10:30:00,01:30:00,"27,27","27,27"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-03-25-0329,296-005-003 - BOBINADOR B,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,3/9/2025,3/9/2025,00:15:00,02:00:00,01:45:00,"63,64","63,64"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-03-25-0374,304-004 - 3ª GAIOLA,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,3/9/2025,3/9/2025,23:00:00,23:59:00,00:59:00,"35,76","35,76"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-03-25-0373,327-002 - 1ª GAIOLA,EQ-ATV-002 - EQUIPE CORRETIVA,64919 - OPERADOR 5,3/9/2025,3/9/2025,22:00:00,22:30:00,00:30:00,"9,09","9,09"
Superaquecimento,Manutenção corretiva,CORRETIVA-03-25-0370,327-003 - 2ª GAIOLA,EQ-ATV-002 - EQUIPE CORRETIVA,64919 - OPERADOR 5,3/9/2025,3/9/2025,15:00:00,15:50:00,00:50:00,"15,15","15,15"
Superaquecimento,Manutenção corretiva,CORRETIVA-03-25-0380,332-013 - BASE ENROLADOR,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,3/9/2025,3/9/2025,10:00:00,10:20:00,00:20:00,"7,57","7,57"
Falha elétrica,Manutenção corretiva,CORRETIVA-03-25-0346,339-002 - BASE DESENROLADOR,EQ-ATV-002 - EQUIPE CORRETIVA,65272 - OPERADOR 26,3/9/2025,3/9/2025,08:00:00,09:00:00,01:00:00,"18,18","18,18"
Falha elétrica,Manutenção corretiva,CORRETIVA-03-25-0332,362-002 - GAIOLA 02,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,3/9/2025,3/9/2025,06:30:00,06:47:00,00:17:00,"4,55","4,55"
Falha elétrica,Manutenção corretiva,CORRETIVA-03-25-0331,442-004 - CALHAS,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,3/9/2025,3/9/2025,05:45:00,06:30:00,00:45:00,"27,28","27,28"
Superaquecimento,Manutenção corretiva,CORRETIVA-03-25-0372,443-001 - BASE DESENROLADOR 01,EQ-ATV-002 - EQUIPE CORRETIVA,64919 - OPERADOR 5,3/9/2025,3/9/2025,20:40:00,21:10:00,00:30:00,"9,09","9,09"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-03-25-0330,443-012 - BASE ENROLADOR 01,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,3/9/2025,3/9/2025,05:00:00,05:45:00,00:45:00,"27,28","27,28"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-03-25-0371,444-007-002 - SISTEMA REFRIGERAÇÃO,EQ-ATV-002 - EQUIPE CORRETIVA,64919 - OPERADOR 5,3/9/2025,3/9/2025,20:00:00,20:40:00,00:40:00,"12,12","12,12"
Desgaste prematuro,Manutenção corretiva,CORRETIVA-03-25-0381,451-009 - PRENSA PRINCIPAL 150MM,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,3/9/2025,3/9/2025,11:00:00,12:00:00,01:00:00,"22,72","22,72"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-03-25-0364,488-012 - RAIO X,EQ-ATV-002 - EQUIPE CORRETIVA,64919 - OPERADOR 5,3/9/2025,3/9/2025,16:00:00,20:00:00,04:00:00,"72,72","72,72"
Falha elétrica,Manutenção corretiva,CORRETIVA-03-25-0349,656-001 - BASE DESENROLADOR 01,EQ-ATV-002 - EQUIPE CORRETIVA,65272 - OPERADOR 26,3/9/2025,3/9/2025,13:30:00,14:30:00,01:00:00,"36,36","36,36"
Falha mecânica geral,Manutenção corretiva,CORRETIVA-03-25-0348,885-003 - BERÇO 02,EQ-ATV-002 - EQUIPE CORRETIVA,65272 - OPERADOR 26,3/9/2025,3/9/2025,10:30:00,12:30:00,02:00:00,"72,72","72,72"
Falha na resistência,Manutenção corretiva,CORRETIVA-03-25-0386,#158 - FORNO MAXIMO,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,3/10/2025,3/10/2025,09:00:00,09:30:00,00:30:00,"11,36","11,36"
Falha no motor principal,Manutenção corretiva,CORRETIVA-03-25-0377,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65041 - OPERADOR 20,3/10/2025,3/10/2025,07:00:00,14:25:00,07:25:00,,0
Problema no painel elétrico,Manutenção corretiva,CORRETIVA-03-25-0450,#190 - CALANDRA  JOB-789 #190,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,3/10/2025,3/11/2025,23:00:00,02:00:00,03:00:00,"54,24","54,24"
Desgaste dos mancais,Manutenção corretiva,CORRETIVA-03-25-0450,#192 - CALANDRA MINI 813 #192,EQ-ATV-002 - EQUIPE CORRETIVA,65027 - OPERADOR 18,3/10/2025,3/11/2025,23:00:00,02:00:00,03:00:00,"54,24","54,24"
Falha no sistema hidráulico,Manutenção corretiva,CORRETIVA-03-25-0399,#202 - INJETORA A SECO AA #202,EQ-ATV-002 - EQUIPE CORRETIVA,64965 - OPERADOR 11,3/10/2025,3/10/2025,20:00:00,20:30:00,00:30:00,"11,36","11,36"
Sensor de temperatura defeituoso,Manutenção corretiva,CORRETIVA-03-25-0400,#217 - INJETORA MULTIFILAR A SECO - #217,EQ-ATV-002 - EQUIPE CORRETIVA,64965 - OPERADOR 11,3/10/2025,3/10/2025,18:30:00,20:00:00,01:30:00,"22,72","22,72"
Travamento do molde,Manutenção corretiva,CORRETIVA-03-25-0392,#217 - INJETORA MULTIFILAR A SECO - #217,EQ-ATV-002 - EQUIPE CORRETIVA,93454 - OPERADOR 35,3/10/2025,3/10/2025,12:30:00,13:15:00,00:45:00,0,0
Vazamento de óleo,Manutenção corretiva,CORRETIVA-03-25-0398,#217 - INJETORA MULTIFILAR A SECO - #217,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,3/10/2025,3/10/2025,17:20:00,18:00:00,00:40:00,0,0
Sensor de temperatura defeituoso,Manutenção corretiva,CORRETIVA-03-25-0407,#220 - INJETORA A SECO - MS400 #220,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,3/10/2025,3/10/2025,16:50:00,17:20:00,00:30:00,0,0
Travamento do molde,Manutenção corretiva,CORRETIVA-03-25-0378,#220 - INJETORA A SECO - MS400 #220,EQ-ATV-002 - EQUIPE CORRETIVA,65272 - OPERADOR 26,3/10/2025,3/10/2025,07:00:00,14:30:00,07:30:00,"218,16","218,16"
Vazamento de óleo,Manutenção corretiva,CORRETIVA-03-25-0396,#220 - INJETORA A SECO - MS400 #220,EQ-ATV-002 - EQUIPE CORRETIVA,64990 - OPERADOR 15,3/10/2025,3/10/2025,15:00:00,19:00:00,04:00:00,"72,72","72,72"
Falha na unidade de injeção,Manutenção corretiva,CORRETIVA-03-25-0376,#220 - INJETORA A SECO - MS400 #220,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,3/10/2025,3/10/2025,00:01:00,05:00:00,04:59:00,"181,2","181,2"
Falha no sistema hidráulico,Manutenção corretiva,CORRETIVA-03-25-0375,#220 - INJETORA A SECO - MS400 #220,EQ-ATV-002 - EQUIPE CORRETIVA,64945 - OPERADOR 9,3/10/2025,3/10/2025,05:00:00,06:45:00,01:45:00,"63,64","63,64"
Falha na unidade de injeção,Manutenção corretiva,CORRETIVA-03-25-0397,#297 - INJETORA SYNCRO F13 - 2,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,3/10/2025,3/10/2025,15:30:00,16:20:00,00:50:00,0,0
Problema no motor da lâmina,Manutenção corretiva,CORRETIVA-03-25-0411,#312 - CORTADEIRA DOBRADEIRA J.A. KRAFT 20.195 #312,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,3/10/2025,3/10/2025,19:20:00,20:00:00,00:40:00,0,0
Falha no sistema elétrico,Manutenção corretiva,CORRETIVA-03-25-0384,#329 - ESTEIRA CABALLE DT-1250 #329,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,3/10/2025,3/10/2025,07:40:00,08:00:00,00:20:00,"7,57","7,57"
Travamento mecânico,Manutenção corretiva,CORRETIVA-03-25-0406,#332 - CORTADEIRA TUBULAR SPAMA TC-610 #332,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,3/10/2025,3/10/2025,18:00:00,18:30:00,00:30:00,0,0
Falha no sensor de posição,Manutenção corretiva,CORRETIVA-03-25-0402,#332 - CORTADEIRA TUBULAR SPAMA TC-610 #332,EQ-ATV-002 - EQUIPE CORRETIVA,93454 - OPERADOR 35,3/10/2025,3/10/2025,17:05:00,18:30:00,01:25:00,0,0
Problema no motor da lâmina,Manutenção corretiva,CORRETIVA-03-25-0393,#332 - CORTADEIRA TUBULAR SPAMA TC-610 #332,EQ-ATV-002 - EQUIPE CORRETIVA,65042 - OPERADOR 21,3/10/2025,3/10/2025,10:40:00,12:10:00,01:30:00,"34,08","34,08"
Falha no motor de tração,Manutenção corretiva,CORRETIVA-03-25-0390,#339 - ESTEIRA LESMO DT-1250 #339,EQ-ATV-002 - EQUIPE CORRETIVA,93454 - OPERADOR 35,3/10/2025,3/10/2025,11:40:00,12:18:00,00:38:00,0,0
Quebra de roletes,Manutenção corretiva,CORRETIVA-03-25-0410,#339 - ESTEIRA LESMO DT-1250 #339,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,3/10/2025,3/10/2025,18:30:00,19:20:00,00:50:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-03-25-0405,#441 - PRENSA DST NEXTRON #441,EQ-ATV-002 - EQUIPE CORRETIVA,64965 - OPERADOR 11,3/10/2025,3/10/2025,19:00:00,19:30:00,00:30:00,"11,36","11,36"
Travamento inesperado,Manutenção corretiva,CORRETIVA-03-25-0408,#657 - FRACIONADORA #657,EQ-ATV-002 - EQUIPE CORRETIVA,93545 - OPERADOR 36,3/10/2025,3/10/2025,16:20:00,16:50:00,00:30:00,0,0
Falha mecânica geral,Manutenção corretiva,CORRETIVA-03-25-0412,#657 - FRACIONADORA #657,EQ-ATV-002 - EQUIPE CORRETIVA,64965 - OPERADOR 11,3/10/2025,3/10/2025,20:30:00,21:00:00,00:30:00,"11,36","11,36"
