FORNECEDOR,Valor/moeda objeto,Data de lançamento,,,NOME TRANSPORTADORA,VALOR
TRANSPORTADORA COMBINADA,"  496,30 ",1/10/2025,,,,
DEMAIS TRANSPORTADORAS,"  490,00 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  462,90 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  456,42 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  332,99 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  332,99 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  332,69 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  323,81 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  319,24 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  309,34 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  308,26 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  304,99 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  302,83 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  298,72 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  297,32 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  296,78 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  296,48 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  296,18 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  293,99 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  292,92 ",1/10/2025,,,,
TRANSPORTADORA COMBINADA,"  556,67 ",1/9/2025,,,,
TRANSPORTADORA COMBINADA,"  318,31 ",1/9/2025,,,,
TRANSPORTADORA COMBINADA,"  294,30 ",1/9/2025,,,,
DEMAIS TRANSPORTADORAS,"  2.499,31 ",1/4/2025,,,,
DEMAIS TRANSPORTADORAS,"  1.966,06 ",1/4/2025,,,,
DEMAIS TRANSPORTADORAS,"  1.952,36 ",1/4/2025,,,,
DEMAIS TRANSPORTADORAS,"  1.259,09 ",1/4/2025,,,,
DEMAIS TRANSPORTADORAS,"  482,95 ",1/4/2025,,,,
TRANSPORTADORA COMBINADA,"  307,66 ",1/3/2025,,,,
TRANSPORTADORA COMBINADA,"  299,60 ",1/3/2025,,,,
TRANSPORTADORA COMBINADA,"  297,51 ",1/3/2025,,,,
TRANSPORTADORA COMBINADA,"  296,22 ",1/3/2025,,,,
TRANSPORTADORA EMERGENCIAL,"  166,63 ",1/2/2025,,,,
