FORNECEDOR,Valor/moeda objeto,Data de lançamento,,,NOME TRANSPORTADORA,VALOR
TRANSPORTADORA COMBINADA,"  447,97 ",3/13/2025,,,,
TRANSPORTADORA COMBINADA,"  430,61 ",3/26/2025,,,,
TRANSPORTADORA COMBINADA,"  428,39 ",3/4/2025,,,,
TRANSPORTADORA COMBINADA,"  421,77 ",3/7/2025,,,,
TRANSPORTADORA COMBINADA,"  394,81 ",3/12/2025,,,,
TRANSPORTADORA COMBINADA,"  391,85 ",3/12/2025,,,,
TRANSPORTADORA COMBINADA,"  389,10 ",3/26/2025,,,,
TRANSPORTADORA COMBINADA,"  384,38 ",3/21/2025,,,,
TRANSPORTADORA COMBINADA,"  376,97 ",3/14/2025,,,,
TRANSPORTADORA COMBINADA,"  372,07 ",3/25/2025,,,,
TRANSPORTADORA COMBINADA,"  371,54 ",3/4/2025,,,,
TRANSPORTADORA COMBINADA,"  368,46 ",3/4/2025,,,,
TRANSPORTADORA COMBINADA,"  318,63 ",3/13/2025,,,,
TRANSPORTADORA COMBINADA,"  266,49 ",3/6/2025,,,,
TRANSPORTADORA COMBINADA,"  264,21 ",3/6/2025,,,,
TRANSPORTADORA COMBINADA,"  263,17 ",3/19/2025,,,,
TRANSPORTADORA COMBINADA,"  262,16 ",3/7/2025,,,,
TRANSPORTADORA COMBINADA,"  260,32 ",3/7/2025,,,,
TRANSPORTADORA COMBINADA,"  250,16 ",3/4/2025,,,,
TRANSPORTADORA COMBINADA,"  247,31 ",3/5/2025,,,,
TRANSPORTADORA COMBINADA,"  246,33 ",3/11/2025,,,,
TRANSPORTADORA COMBINADA,"  246,29 ",3/21/2025,,,,
TRANSPORTADORA COMBINADA,"  246,21 ",3/21/2025,,,,
TRANSPORTADORA COMBINADA,"  245,07 ",3/26/2025,,,,
TRANSPORTADORA COMBINADA,"  244,86 ",3/1/2025,,,,
TRANSPORTADORA COMBINADA,"  244,23 ",3/11/2025,,,,
TRANSPORTADORA COMBINADA,"  242,34 ",3/25/2025,,,,
TRANSPORTADORA COMBINADA,"  240,33 ",3/15/2025,,,,
TRANSPORTADORA COMBINADA,"  239,63 ",3/19/2025,,,,
TRANSPORTADORA COMBINADA,"  239,37 ",3/21/2025,,,,
TRANSPORTADORA COMBINADA,"  239,37 ",3/11/2025,,,,
